plotid,site,treatment,burn,plotnum,coord_x,coord_y,notes
1,bob,ls,b,12,,,
2,bob,ls,b,3,,,
3,bob,ls,b,5,,,
4,bob,ls,b,6,,,
5,bob,ls,b,9,,,
6,bob,ls,nb,1,,,
7,bob,ls,nb,12,,,
8,bob,ls,nb,3,,,
9,bob,ls,nb,6,,,
10,bob,ls,nb,9,,,
11,bob,m,b,1,,,
12,bob,m,b,11,,,
13,bob,m,b,4,,,
14,bob,m,b,6,,,
15,bob,m,b,7,,,
16,bob,m,nb,1,,,
17,bob,m,nb,10,,,
18,bob,m,nb,11,,,
19,bob,m,nb,3,,,
20,bob,m,nb,9,,,
21,bob,np,b,12,,,
22,bob,np,nb,1,,,
23,bob,np,nb,11,,,
24,bob,np,nb,12,,,
25,bob,np,nb,2,,,
26,bob,np,nb,7,,,
27,crib,ls,b,1,,,
28,crib,ls,b,11,,,
29,crib,ls,b,14,,,
30,crib,ls,b,21,,,
31,crib,ls,b,23,,,
32,crib,ls,b,8,,,
33,crib,ls,nb,11,,,
34,crib,ls,nb,2,,,
35,crib,ls,nb,4,,,
36,crib,ls,nb,8,,,
37,crib,ls,nb,9,,,
38,crib,m,b,10,,,
39,crib,m,b,12,,,
40,crib,m,b,19,,,
41,crib,m,b,2,,,
42,crib,m,b,8,,,
43,crib,m,nb,1,,,
44,crib,m,nb,10,,,
45,crib,m,nb,3,,,
46,crib,m,nb,5,,,
47,crib,m,nb,6,,,
48,crib,np,b,10,,,
49,crib,np,b,12,,,
50,crib,np,b,17,,,
51,crib,np,b,2,,,
52,crib,np,b,4,,,
53,crib,np,nb,1,,,
54,crib,np,nb,6,,,
55,crib,np,nb,9,,,
56,fair,ls,b,1,,,
57,fair,ls,b,10,,,
58,fair,ls,b,2,,,
59,fair,ls,b,6,,,
60,fair,ls,b,8,,,
61,fair,ls,nb,1,,,
62,fair,ls,nb,11,,,
63,fair,ls,nb,4,,,
64,fair,ls,nb,5,,,
65,fair,ls,nb,7,,,
66,fair,m,b,10,,,
67,fair,m,b,3,,,
68,fair,m,b,4,,,
69,fair,m,b,6,,,
70,fair,m,b,7,,,
71,fair,np,b,2,,,
72,fair,np,b,3,,,
73,fair,np,b,5,,,
74,fair,np,b,7,,,
75,fair,np,b,9,,,
76,fair,np,nb,10,,,
77,fair,np,nb,7,,,
78,hare,ls,b,10,,,
79,hare,ls,b,12,,,
80,hare,ls,b,2,,,
81,hare,ls,b,5,,,
82,hare,ls,b,6,,,
83,hare,ls,nb,10,,,
84,hare,ls,nb,2,,,
85,hare,ls,nb,4,,,
86,hare,ls,nb,6,,,
87,hare,ls,nb,9,,,
88,hare,m,b,1,,,
89,hare,m,b,4,,,
90,hare,m,b,5,,,
91,hare,m,b,8,,,
92,hare,m,b,9,,,
93,hare,m,nb,1,,,
94,hare,m,nb,10,,,
95,hare,m,nb,3,,,
96,hare,m,nb,5,,,
97,hare,m,nb,9,,,
98,hare,np,b,1,,,
99,hare,np,b,10,,,
100,hare,np,b,3,,,
101,hare,np,b,4,,,
102,hare,np,b,8,,,
103,hare,np,nb,1,,,
104,hare,np,nb,11,,,
105,hare,np,nb,5,,,
106,hare,np,nb,6,,,
107,hare,np,nb,8,,,
108,crib,np,b,3,,,
