collectid,seedlingradius,saplingradius,notes
108,5.64,11.28,
109,5.64,11.28,
110,5.64,11.28,
111,5.64,11.28,
112,5.64,11.28,
113,5.64,11.28,
114,5.64,11.28,
115,5.64,11.28,
116,5.64,11.28,
117,5.64,11.28,
118,5.64,11.28,
119,5.64,11.28,
120,5.64,11.28,
121,5.64,11.28,
122,5.64,11.28,
123,5.64,11.28,
124,5.64,11.28,
125,5.64,11.28,
126,5.64,11.28,
127,5.64,11.28,
128,5.64,11.28,
129,5.64,11.28,
130,5.64,11.28,
131,5.64,11.28,
132,5.64,11.28,
133,5.64,11.28,
134,5.64,11.28,
135,5.64,11.28,
136,5.64,11.28,
137,5.64,11.28,
138,5.64,11.28,
139,5.64,11.28,
140,5.64,11.28,
141,5.64,11.28,
142,5.64,11.28,
143,5.64,11.28,
144,5.64,11.28,
145,5.64,11.28,
146,5.64,11.28,
147,5.64,11.28,
148,5.64,11.28,
149,5.64,11.28,
150,5.64,11.28,
151,5.64,11.28,
152,5.64,11.28,
153,5.64,11.28,
154,5.64,11.28,
155,5.64,11.28,
156,5.64,11.28,
157,5.64,11.28,
158,5.64,11.28,
159,5.64,11.28,
160,5.64,11.28,
161,5.64,11.28,
162,5.64,11.28,
163,5.64,11.28,
164,5.64,11.28,
165,5.64,11.28,
166,5.64,11.28,
167,5.64,11.28,
168,5.64,11.28,
169,5.64,11.28,
170,5.64,11.28,
171,5.64,11.28,
172,5.64,11.28,
173,5.64,11.28,
174,5.64,11.28,
175,5.64,11.28,
176,5.64,11.28,
177,5.64,11.28,
178,5.64,11.28,
179,5.64,11.28,
180,5.64,11.28,
181,5.64,11.28,
182,5.64,11.28,no heights
183,5.64,11.28,no heights
184,5.64,11.28,no heights
185,5.64,11.28,no heights
186,5.64,11.28,no heights
187,5.64,11.28,no heights
188,5.64,11.28,no heights
189,5.64,11.28,no heights
190,5.64,11.28,no heights
191,5.64,11.28,no heights
192,5.64,5.64,no heights
193,5.64,11.28,no heights
194,5.64,11.28,"no heights, gf not identified combined as df"
195,5.64,11.28,no heights
196,5.64,11.28,no heights
197,5.64,11.28,no heights
198,5.64,11.28,no heights
199,5.64,11.28,no heights
200,5.64,11.28,no heights
201,5.64,11.28,no heights
202,5.64,5.64,no heights
203,5.64,5.64,no heights
204,5.64,5.64,no heights
205,5.64,5.64,no heights
206,5.64,5.64,no heights
207,5.64,11.28,no heights
208,5.64,11.28,no heights
209,5.64,11.28,no heights
210,5.64,11.28,no heights
211,5.64,11.28,no heights
324,5.64,11.28,
325,5.64,11.28,
328,5.64,11.28,
329,5.64,11.28,
332,5.64,11.28,
333,5.64,11.28,
348,5.64,11.28,
349,5.64,11.28,
350,5.64,11.28,
359,5.64,11.28,
372,5.64,11.28,
373,5.64,11.28,
374,5.64,11.28,
375,5.64,11.28,
376,5.64,11.28,
378,5.64,11.28,
379,5.64,11.28,
380,5.64,11.28,
381,5.64,11.28,
382,5.64,11.28,
394,5.64,11.28,
395,5.64,11.28,
396,5.64,11.28,
397,5.64,11.28,
403,5.64,11.28,
404,5.64,11.28,
405,5.64,11.28,
406,5.64,11.28,
407,5.64,11.28,
440,5.64,11.28,
441,5.64,11.28,
442,5.64,11.28,
443,5.64,11.28,
444,5.64,11.28,
445,5.64,11.28,
446,5.64,11.28,
447,5.64,11.28,
448,5.64,11.28,
449,5.64,11.28,
476,5.64,11.28,
477,5.64,11.28,
478,5.64,11.28,
479,5.64,11.28,
480,5.64,11.28,
481,5.64,11.28,
482,5.64,11.28,
483,5.64,11.28,
484,5.64,11.28,
485,5.64,11.28,
510,5.64,11.28,
511,5.64,11.28,
512,5.64,11.28,
513,5.64,11.28,
514,5.64,11.28,
515,5.64,11.28,datasheet spp cq changed to gc
516,5.64,11.28,
517,5.64,11.28,
518,5.64,11.28,
519,5.64,11.28,
528,5.64,11.28,
529,5.64,11.28,
530,5.64,11.28,
531,5.64,11.28,
532,5.64,11.28,
535,5.64,11.28,
536,5.64,11.28,
537,5.64,11.28,
538,5.64,11.28,
539,5.64,11.28,
542,5.64,11.28,
543,5.64,11.28,
544,5.64,11.28,
545,5.64,11.28,
546,5.64,11.28,
